Unnamed: 0,Project,specification,area,price
135,135,Park Titan,2 BHK,815 sq.ft. (76 sq.m.) Carpet Area,₹ 66 L
136,136,Welworth Purnam,2 BHK,763 sq.ft. (71 sq.m.) Carpet Area,₹ 55 L
137,137,Sportsville,2 BHK2 Baths,693 sq.ft. (64 sq.m.) Carpet Area,₹ 59.15 L
138,138,Krishna Amarillo,2 BHK2 Baths,723 sq.ft. (67 sq.m.) Carpet Area,₹ 60 L
139,139,Rahul Aston,2 BHK2 Baths,827 sq.ft. (77 sq.m.) Carpet Area,₹ 73 L
140,140,Vilas Yashwin Sukhniwas,2 BHK2 Baths,679 sq.ft. (63 sq.m.) Carpet Area,₹ 50 L
141,141,Shapoorji Joyville Sensorium,2 BHK2 Baths,536 sq.ft. (50 sq.m.) Carpet Area,"₹ 65.98 L₹ 12,296/sq.ft."
142,142,Kohinoor Coral,2 BHK2 Baths,493-705 sq.ft. (46-66 sq.m.) Carpet Area,"₹ 44.69  - 52 L₹ 8,214/sq.ft."
143,143,32 Pinewood Drive,2 BHK,780 sq.ft. (72 sq.m.) Carpet Area,"₹ 54 L₹ 6,923/sq.ft."
144,144,ITrend Homes3.7 ★,2 BHK,628 sq.ft. (58 sq.m.) Carpet Area,₹ 51 L
145,145,Kasturi Eon Homes4.3 ★,3 BHK,823 sq.ft. (76 sq.m.) Carpet Area,"₹ 73.23 L₹ 8,888/sq.ft."
146,146,Kolte Patil Life Republic4.4 ★,2 BHK,530 sq.ft. (49 sq.m.) Carpet Area,"₹ 59 L₹ 11,122/sq.ft."
147,147,Park Astra,3 BHK3 Baths,"1,000 sq.ft. (93 sq.m.) Carpet Area","₹ 85 L₹ 8,500/sq.ft."
148,148,Pride Purple Park Connect,2 BHK,721 sq.ft. (67 sq.m.) Carpet Area,"₹ 65 L₹ 9,015/sq.ft."
149,149,32 Pinewood Drive,2 BHK2 Baths,772 sq.ft. (72 sq.m.) Carpet Area,"₹ 62 L₹ 8,031/sq.ft."
150,150,Park Titan,3 BHK,988 sq.ft. (92 sq.m.) Carpet Area,₹ 93.42 L
151,151,Park Titan,2 BHK,720 sq.ft. (67 sq.m.) Carpet Area,₹ 66.06 L
152,152,Kasturi Eon Homes4.1 ★,3 BHK,823 sq.ft. (76 sq.m.) Carpet Area,"₹ 94.02 L₹ 11,412/sq.ft."
153,153,Kasturi Eon Homes4.1 ★,2 BHK,721 sq.ft. (67 sq.m.) Carpet Area,"₹ 73.69 L₹ 10,210/sq.ft."
154,154,TCG The Cliff Garden4.3 ★,2 BHK2 Baths,742 sq.ft. (69 sq.m.) Carpet Area,₹ 56 L
